index	question	sentence	label
102	能看吗	现在还有徐州	0
103	能看吗	没出去	0
104	什么时候友谊医院能开张	2022年	1
105	什么时候友谊医院能开张	有时间可以来看看	0
106	什么时候友谊医院能开张	周六日休息吗	0
107	这个价格还有的谈吗	这是62平的	0
108	这个价格还有的谈吗	您想考虑多大面积的呀	0
109	这个价格还有的谈吗	您同意呀，我给你发个62平的精装的	0
110	北师大附中市重点中学吗	对	0
111	北师大附中市重点中学吗	重点学校	0
112	北师大附中市重点中学吗	哦哦	0
113	总的税费？	增值税，契税，个税	1
114	总的税费？	一共8点多	1
115	总的税费？	好的，我写给您	0
116	总的税费？	增值税5.3，契税1.5，个税1	1
117	总的税费？	一共7.8	1
118	这是哪里的房子	这个项目是在青白江那边	0
119	这是哪里的房子	挨着青白江东站的	0
120	学区划分在哪个小学	飞鹅岭小学的	1
121	学区划分在哪个小学	不是的，保利高尔夫那里	0
122	学区划分在哪个小学	公立的，3公里	0
123	什么时候能够看房呢？	房子是业主自住的，看房方便，一般都有老人在家的，	1
124	什么时候能够看房呢？	您有时间可以与我提前联系。我帮您约时间，其他户型的房子也可以带您看一下。	1
125	什么时候能够看房呢？	房子是19楼的，视野也很不错的。	0
126	不挡光吧、	视野相对来说还可以	1
127	不挡光吧、	不挡光	1
128	不挡光吧、	价格可以谈	0
129	不挡光吧、	家具需要跟房东协商	0
130	不挡光吧、	大部分是没有问题的	0
131	这个最低多少钱	您好	0
132	这个最低多少钱	业主诚心卖	0
133	这个最低多少钱	您可以先看一下房子，合适的话可以和业主聊聊	1
134	2楼这套给256万能谈下来吗	我可以努力去帮你试试	1
135	2楼这套给256万能谈下来吗	不过2楼的比这个也大小20平呢😆我估计应该能高一点点	0
136	2楼这套给256万能谈下来吗	我可以帮您递个价给业主聊聊 咱俩在沟通 方便您给我留个您的联系方式吧😊也方便咱们沟通	0
137	都看看吧	您今天几点到呢	0
138	都看看吧	我都帮您约一下	0
139	都看看吧	好的	0
140	那您帮我约一下，看看他们什么时候方便，谢谢	好的，你什么时间方便。	1
141	那您帮我约一下，看看他们什么时候方便，谢谢	好的	0
142	那您帮我约一下，看看他们什么时候方便，谢谢	今天租户出去了，明天上午可以安排看房。	1
143	行，明天都看看	好	0
144	行，明天都看看	晚点儿我约下业主的时间	1
145	行，明天都看看	好的	0
146	临大路哈？	对旁边是通史南路	1
147	临大路哈？	房主着急卖，如果考虑的话可以再聊聊	0
148	临大路哈？	这个房有钥匙，你看今天什么时候有时间？	0
149	拎包入住？就是说家具这些房东不拿走？	这套房子装修保养非常不错	0
150	拎包入住？就是说家具这些房东不拿走？	嗯嗯	0
151	拎包入住？就是说家具这些房东不拿走？	带家具家电一起卖哈	0
152	拎包入住？就是说家具这些房东不拿走？	房东只带走私人物品	0
153	什么时候能够看房呢？	😓	0
154	什么时候能够看房呢？	😁	0
155	我想了解一下这里的房子	您是考虑买还是卖？	0
156	我想了解一下这里的房子	之前您有没有过来看过这个小区呢	0
157	我想了解一下这里的房子	有153-166-178平的	0
158	我想了解一下这里的房子	好的	0
159	我想了解一下这里的房子	我给您发几套，您看一下	0
160	51看看哪天我约你吧	农忙了	0
161	51看看哪天我约你吧	 好的呀	0
162	51看看哪天我约你吧	 客户不多	0
163	北一路哪？	这套房子在兴工北街1号	1
164	北一路哪？	对	0
165	北一路哪？	好的	0
166	那前面光线怎么样	不影响啊	0
167	那前面光线怎么样	就是看顶楼你介意不	0
168	那前面光线怎么样	?这个我怎么说呢，夏天不管几楼的房子都要开空调	0
169	那前面光线怎么样	那不会	0
170	那前面光线怎么样	漏雨的话会跟您说的	0
171	这套房配套学区怎么样啊	板厂小学的招生简章上有本小区	1
172	这套房配套学区怎么样啊	板厂小学是一所二流一类小学，侧重于孩子的学习成绩，所以成绩相对来说好一些，上汇文中学的比例也是最高的，到达30%的比例，汇文中学又是北京市的重点中学，这个小学跟陪新小学差不多，也是注重学习成绩，过来板厂和陪新的，基本都是冲着汇文中学而来，即使没上了汇文，大部分去了广渠门中学，东城区重点，还有两所，50和109，仅次于广渠门，也是区重点，板厂对应中学就是这四所，都在方圆1.5公里以内	1
173	这套房配套学区怎么样啊	龙体片区整体比较均衡	0
174	这套房配套学区怎么样啊	没有坑	0
175	这套房配套学区怎么样啊	嗯嗯，可以的，明天下午您几点能过来呀	0
176	靠马路吗	不临马路	1
177	靠马路吗	楼下就是花园	0
178	靠马路吗	这套您看一下总高11楼的9楼	0
179	在小区的什么位置？	7楼	1
180	在小区的什么位置？	这套房子在6栋，1层	1
181	在小区的什么位置？	房子比较新	0
182	在哪	咸阳的盘	0
183	在哪	小区自带13.5万方的商业	0
184	在哪	您想购置一套吗	0
185	这个户型的西南是不是比东南好点采光	这种两居近期成交没有465万的，您再确定一下是不是看错了(^^)	0
186	这个户型的西南是不是比东南好点采光	这套是顶层的，电梯到10层，然后走楼梯往上走一层。不满两年的公房	0
187	这个户型的西南是不是比东南好点采光	不是电梯直达的那种，另外这个是半年以前的成交了，现在像这种楼的一居81平成交价格已经到466万了。是6月28日成交的。	0
188	这个户型的西南是不是比东南好点采光	现在的市场和之前的市场已经存在差距了，最主要的是楼层的限制因素。	0
189	这套房源价格还有优惠空间么？	看中可谈	1
190	这套房源价格还有优惠空间么？	您付款如何？小区房子户型了解吗	0
191	这套房源价格还有优惠空间么？	您好	0
192	周边配套怎么样	链家NAME很高兴为你服务	0
193	周边配套怎么样	周边配套成熟	1
194	周边配套怎么样	深圳的物业公司	0
195	周边配套怎么样	彩生活	0
196	周边配套怎么样	你之前有来这附近看过房子没	0
197	在哪里呢	绿地468三期的	1
198	在哪里呢	好的，我发个线上看房	0
199	在哪里呢	您到时有时间看房了提前给我说就行，我提前约业主	0
200	这个约看	可以	1
201	这个约看	您几点过来	0
202	这个约看	钥匙在我们店	0
203	多久满呢	这套房子业主才交的契税	0
204	多久满呢	所以满两年还很早	1
205	多久满呢	您考虑满两年的房子吗	0
206	多久满呢	百悦城四期有快满两年的房子给您推荐两套吧	0
207	多久满呢	嗯嗯	0
208	您好，我正在看芍药居北里的房子	房子在卖的	0
209	您好，我正在看芍药居北里的房子	业主也诚心	0
210	您好，我正在看芍药居北里的房子	您省去一部分钱了	0
211	您好，我正在看芍药居北里的房子	您说的这个价位确实有点低	0
212	您好，我正在看芍药居北里的房子	不过，您再给点价，可以约业主见面聊聊的	0
213	最低多少钱啦	您好	0
214	最低多少钱啦	基本上谈不了多少钱	1
215	最低多少钱啦	是的	0
216	这套房源价格还有优惠空间么？	您好	0
217	这套房源价格还有优惠空间么？	价格可以谈	1
218	这套房源价格还有优惠空间么？	您好，您之前咨询的艾维尼小城小区有新上房源，不知道您是否感兴趣？	0
219	这是在什么地方	您好	0
220	这是在什么地方	有什么可以帮您	0
221	这是在什么地方	在么？	0
222	可以去看吗	可以，我提前约下	1
223	可以去看吗	您什么时候方便	1
224	可以去看吗	您住哪里	0
225	中学呢	十五中	1
226	中学呢	您明天有时间吗？	0
227	中学呢	我带您实地看看	0
228	想了解一下购房政策	我是置家地产淘金家园分行小蒋，很高兴为您提供服务，请问怎么称呼您？	0
229	想了解一下购房政策	房子都没有看找业主谈，业主会觉得我故意压价，现在的业主都很精明的。	0
230	想了解一下购房政策	您如果有心的话，找个时间过来看一下房子，喜欢就谈，不喜欢管它卖多少钱，你说是吗？	0
231	想了解一下购房政策	什么时候看过的？	0
232	想了解一下购房政策	请问您联系电话多少？到时候有什么情况回复您。	0
233	采光好吗？	采光没挡的	1
234	采光好吗？	你宏联来看过吗	0
235	采光好吗？	这个19楼的	0
236	采光好吗？	还有个21楼	0
237	采光好吗？	你这边方便留个电话加个微信嘛？	0
238	哦哦采光怎么样？	挺好的	1
239	哦哦采光怎么样？	周末方便不	0
240	哦哦采光怎么样？	我周末联系你呢	0
241	哦哦采光怎么样？	???	0
242	哦哦采光怎么样？	1楼怎么样	0
243	这疫情能看？	对呀	1
244	这疫情能看？	😊要不之前的房子都是怎么卖的呀	0
245	这疫情能看？	您看这周末来看房吗？	1
246	什么时候能够看房呢？	您好	0
247	什么时候能够看房呢？	您好	0
248	什么时候能够看房呢？	您好，在	0
249	什么时候能够看房呢？	随时看房	1
250	什么时候能够看房呢？	您好	0
251	什么时候能够看房呢？	房子在的	0
252	带家具吗	大部分都带	1
253	带家具吗	价格还可以商量	0
254	带家具吗	五到十万讨价空间估计	0
255	带家具吗	房主现在在外地基本上能不动的都不动了	0
256	带家具吗	东户	0
257	您好，请问这个房子的首付、税费和贷款是怎样的？	稍等一下	0
258	您好，请问这个房子的首付、税费和贷款是怎样的？	所以是不限购的	0
259	大税多少	5.3	1
260	大税多少	67840	0
261	大税多少	方便的话可以把您手机号给我吗？有什么新房子我第一时间联系您，发给您。	0
262	那个楼是临街的我看	这个小区是元宝形的，四周电梯高层板楼	0
263	那个楼是临街的我看	中间是不带电梯小板楼	0
264	那个楼是临街的我看	所以电梯板楼里这个位置算不错的了	0
265	这个税费多少？小产权哦	小产权链家不卖的	1
266	这个税费多少？小产权哦	没有增值税	1
267	这个税费多少？小产权哦	有1个点的个税	1
268	这个税费多少？小产权哦	1个点的契税	0
269	这个税费多少？小产权哦	是的	0
270	您好，请问这个房子周边有哪些学校？	小区里面有幼儿园	0
271	您好，请问这个房子周边有哪些学校？	旁边有呼家楼中心团结湖分校的低年级部	0
272	您好，请问这个房子周边有哪些学校？	很多也会送孩子去估计学校	0
273	您好，请问这个房子周边有哪些学校？	国际学校	1
274	您好，请问这个房子周边有哪些学校？	这个房子目前有租户，业主不太诚意卖，有诚意的可以推荐您看看	0
275	您好，我想了解长桥六村即将上架的1室房源报价。	216	0
276	您好，我想了解长桥六村即将上架的1室房源报价。	阿姨，有什么需要咨询的吗	0
277	您好，我想了解长桥六村即将上架的1室房源报价。	哦。那没事的	0
278	您好，我想了解长桥六村即将上架的1室房源报价。	?	0
279	您好，我想了解长桥六村即将上架的1室房源报价。	感谢您的咨询，我是链家NAME，感谢信任并选择链家。关于房产有任何疑问可随时联系我，PHONE 随时竭诚为您服务！祝您和家人身体健康，生活愉快！	0
280	带家具家电？	育文分校和魅力小学	0
281	带家具家电？	育文已经正式下文了	0
282	带家具家电？	已经在招生，咱想考虑那的房子我可以给您推荐几个好房子	0
283	是的，配套都齐全的	尚东现在生活也方便。投资潜力更加大w	1
284	是的，配套都齐全的	这个倒不用	0
285	是的，配套都齐全的	保守估计2023年	0
286	是的，配套都齐全的	而且你真的买地铁上盖好的，估计以后卖出去也是差不多价格	0
287	是的，配套都齐全的	2600到2800	0
288	税费高吗	精装修	0
289	税费高吗	满五	0
290	税费高吗	不唯一	0
291	税费高吗	嗯	0
292	税费高吗	电话给个哦	0
293	家具？	油烟机也有。	1
294	家具？	装修了我估计卖得快。。您有时间就来看看。	0
295	家具？	5楼、这套清水。	0
296	家具？	五楼相当于4楼?	0
297	家具？	我再找点优质的嘛。。	0
298	能约上哪个看哪个	好的	0
299	能约上哪个看哪个	这套是东北朝向辛姐	0
300	能约上哪个看哪个	相对比装修还不错	0
301	这个房子是中间套还是边套	在的	0
302	这个房子是中间套还是边套	上海链家吴娟很高兴为您服务	0
303	这个房子是中间套还是边套	中间套的	1
304	请问首付和贷款是多少？	正常首付	1
305	请问首付和贷款是多少？	您好，您之前咨询的舒格兰二期小区有新上房源，不知道您是否感兴趣？	0
306	请问首付和贷款是多少？	正常首付的	1
307	带我看看	好的	0
308	带我看看	好的	0
309	带我看看	你好	0
310	750那套 能谈到多少呢	一层的这套750万吗？	0
311	750那套 能谈到多少呢	能谈的不多	1
312	750那套 能谈到多少呢	几万的降幅	1
313	您好 什么时候有空带我去看一下观澜的房子	您好	0
314	您好 什么时候有空带我去看一下观澜的房子	下午有时间吗？	1
315	您好 什么时候有空带我去看一下观澜的房子	好的	0
316	学位呀！配套设施呀！	您稍等，我帮您算一下	0
317	学位呀！配套设施呀！	首付25万左右	0
318	学位呀！配套设施呀！	附近有三和实验小学和三和幼儿园	1
319	学位呀！配套设施呀！	还有崇雅中学	1
320	学位呀！配套设施呀！	加了	0
321	其他费用还有哪些？还有议价空间吗？	6楼	0
322	其他费用还有哪些？还有议价空间吗？	您多少钱能定？	0
323	其他费用还有哪些？还有议价空间吗？	卖不了	0
324	有时间去看看约你	好的	1
325	有时间去看看约你	随时看房	1
326	有时间去看看约你	等你有	0
327	这套房子是带家具家电  还是空房出售	之前联系房东是带着家具家电出售的	0
328	这套房子是带家具家电  还是空房出售	首付33万	0
329	这套房子是带家具家电  还是空房出售	金马小学金马中学	0
330	这套房子是带家具家电  还是空房出售	贷款85万，贷25年5090元月供	0
331	这套房子是带家具家电  还是空房出售	这套房子现在价格谈不了多少	0
332	哦哦，这个小区吗	这个小区暂时没得跃层出来哟	0
333	哦哦，这个小区吗	我找一下手机	0
334	哦哦，这个小区吗	照片	0
335	这是没装过的？	这套也很优质，面积要大些	0
336	这是没装过的？	您刚刚不是问问没装修过的吗？	0
337	这是没装过的？	都要考的	0
338	这是没装过的？	哪个学校啊	0
339	最近有好的房子吗？带我看看	好的 你预算找什么价位区间的房子呢	0
340	最近有好的房子吗？带我看看	可以为你推荐一下	0
341	最近有好的房子吗？带我看看	好的	0
342	这套在小区什么位置啊	您主要考虑这个价位的的房子还是大概这个小区的房子	0
343	这套在小区什么位置啊	小区里面	0
344	这套在小区什么位置啊	不临街	0
345	在哪里	青白江的楼盘	0
346	在哪里	考不考虑呢？	0
347	在哪里	最近有没有考虑买房呢？全成都的我都可以给你推荐	0
348	方便看吗	这个目前没拍😁	0
349	方便看吗	看房可以看 家里有人 要提前一天跟业主约时间😂	1
350	方便看吗	1单元的	0
351	这套价格有得谈吗	可以	1
352	这套价格有得谈吗	但是建议先看房哈	0
353	这套价格有得谈吗	谈不到	0
354	临街吗	之前有客户改动过	0
355	临街吗	临街	1
356	临街吗	朝阳北路	0
357	您好，请问这个房子周边有哪些学校？	这房子属于丰台	0
358	您好，请问这个房子周边有哪些学校？	没到东城	0
359	您好，请问这个房子周边有哪些学校？	西革新里属于东城	0
360	这种房子可以商业贷款吗	?	0
361	这种房子可以商业贷款吗	是得	0
362	这种房子可以商业贷款吗	不客气	0
363	这种房子可以商业贷款吗	方便的话咱们留个联系方式	0
364	这种房子可以商业贷款吗	我的电话PHONE，微信号也是这个	0
365	您好，请问这个房子周边有哪些学校？	想象国际小学	1
366	您好，请问这个房子周边有哪些学校？	私立一中	1
367	您好，请问这个房子周边有哪些学校？	翰林国际学校幼儿园到高中	1
368	您好，请问这个房子周边有哪些学校？	是的	0
369	您好，请问这个房子周边有哪些学校？	在吗	0
370	初中呢	初中距离大约1公里内	0
371	初中呢	亲，我加您微信吧，给您发一下位置😊	0
372	哪里	台湖	1
373	哪里	您好，您主要考虑那个区域的房子呢？	0
374	哪里	您好，您大概考虑什么样的房子呢？可以帮您匹配房源。	0
375	这个小区给按揭吗	那买第二套要首付5成	0
376	这个小区给按揭吗	市值的不行，商贷可以	0
377	这个小区给按揭吗	方便留个联系方式，看房我可以提前约房东。	0
378	这个小区给按揭吗	有其他问题也可以随时咨询我	0
379	能公积金吗？	可以公积金贷款	1
380	能公积金吗？	可以	0
381	能公积金吗？	你们几点钟有时间	0
382	能公积金吗？	你们是几点过来呢	0
383	能公积金吗？	可以	0
384	增值税有没有	有的	1
385	增值税有没有	你这边想要没有增值税的房子吗	0
386	增值税有没有	您可以给我说一下你的需求我给你推荐一下	0
387	增值税有没有	一期有	0
388	增值税有没有	你这边预算大概是多少呢	0
389	明天能看吗？	业主最近不太愿意让看房	1
390	明天能看吗？	明天您几点	0
391	明天能看吗？	我先联系一下业主，明天您几点方便	0
392	要全款吗？	业主是这样子想的	0
393	要全款吗？	这几天也有客户在谈	0
394	要全款吗？	好的	0
395	要全款吗？	您觉得这套房子怎么样	0
396	要全款吗？	全款可以谈价格	0
397	周边配套成熟一点的	您这边可有意向的小区呢	0
398	周边配套成熟一点的	祥源城这个小区，很符合您的要求，	1
399	周边配套成熟一点的	这边给您看几套？	0
400	周边配套成熟一点的	您这边是考虑几居室呢	0
401	周边配套成熟一点的	对楼层可有要求	0
402	他最低多少钱？	应该是400万左右吧 业主说没有说具体的低价，要根据客户付款方式谈。	1
403	他最低多少钱？	您这边什么价格呢？	0
404	他最低多少钱？	360万业主不卖	0
405	可以贷多少年	你现在的年龄	0
406	可以贷多少年	马上算	0
407	可以贷多少年	二十年，月供2400多	1
408	可以贷多少年	36万	0
409	可以贷多少年	一楼	0
410	您好，我正在看造甲南里的房子	是的	0
411	您好，我正在看造甲南里的房子	暂时应该不会的	0
412	您好，我正在看造甲南里的房子	嗯嗯	0
413	您好，我正在看造甲南里的房子	您是想出售，还是想买一套那边的房子！	0
414	您好，我正在看造甲南里的房子	前两年有说的那边要拆，到现在也没规划！您可以再等等，这个东西不太好说啊	0
415	这个可以谈到多少	价格上肯定争取给谈到最低,业主上一套成交89万，也和业主传递了，不认可这个价格	1
416	这个可以谈到多少	96-95万这个意思.	1
417	这个可以谈到多少	这套装修上好一些,	0
418	是啊，现在心里底线多少？	稍等哈😅	0
419	是啊，现在心里底线多少？	哈喽 哥	0
420	是啊，现在心里底线多少？	问完了	0
421	目前他们最低心里价位	之前年前268万。现在我在聊一聊	1
422	目前他们最低心里价位	嗯。明白	0
423	目前他们最低心里价位	您做公积金贷款 那肯定她自己还	0
424	有房产证照片么	目前还没有	1
425	有房产证照片么	有产证的	0
426	有房产证照片么	我先约下看房	0
427	有房产证照片么	看房的时候我照片给您看	0
428	有房产证照片么	房东产证照片打我们也不好都发给客户	0
429	学区怎么样?	都很好的，	1
430	学区怎么样?	是的	0
431	学区怎么样?	里面有一栋小面积的不是回迁的，别的都是回迁的	0
432	税多少？	这个是37栋70年住宅	0
433	税多少？	税费个税2%契税1%	1
434	税多少？	一个是40年公寓证 一个是70年住宅证面积同等 但用途性质不一样	0
435	税多少？	住宅正常我们过户税费1.7万	1
436	税多少？	公寓过户税费在3～4万	1
437	这个最低多钱？	价格有商量	1
438	这个最低多钱？	明天帮您问问业主	1
439	这个最低多钱？	嗯嗯	0
440	这套房源价格还有优惠空间吗？	看上房可以和房主聊聊	1
441	这套房源价格还有优惠空间吗？	您是落户吗	0
442	这套房源价格还有优惠空间吗？	还是本地	0
443	这套房源价格还有优惠空间么？	您好	0
444	这套房源价格还有优惠空间么？	您发的房子还在的，链家网所有房源均为真实在售房源，想看看吗？我可以帮您约业主时间。	0
445	这套房源价格还有优惠空间么？	这套房子业主着急出售，满五年唯一，购房成本低，小区中间位置的，看看感兴趣吗	0
446	配套啥的我都了解	嗯嗯好的	1
447	配套啥的我都了解	那有意向的话 来实地看看  	1
448	配套啥的我都了解	喔喔这样啊。 	1
449	配套啥的我都了解	好的	1
450	配套啥的我都了解	您这边首付想控制在多少？	0
451	这套支持公积金吗	房子本身是支持，就是不知道房东那边愿不愿意接受	1
452	这套支持公积金吗	之前是商贷还是公积金？	1
453	这套支持公积金吗	首付最少40%	1
454	这套支持公积金吗	之前公积金贷款就不好说了，您公积金还有多少余额？	1
455	满二，怎么出税的呢？	有的，	0
456	满二，怎么出税的呢？	其实只要总价您合适就行，他哪怕税再少，业主把房价给加上十万，总价反而更高	0
457	满二，怎么出税的呢？	和正常商品房小区都一样，满二没有增值税。满五唯一没有个税。碰到原值特别高的个税少	1
458	满二，怎么出税的呢？	您最近来看看吗？	0
459	满二，怎么出税的呢？	刚才的那两个是相对比较好的，那有钥匙，一个是提前约业主，那我就等您消息了	0
460	明天这个房子能看吗	可以	1
461	明天这个房子能看吗	这个业主诚心卖 买的已经定了	0
462	明天这个房子能看吗	所以着急	0
463	什么时候能够看房呢？	哪一套房子？	0
464	什么时候能够看房呢？	上个月就卖掉了	1
465	什么时候能够看房呢？	现在没有这种99平米比较优质的在出售了	0
466	哦，价能谈吗？	要所有房子都能讲个2.30万	0
467	哦，价能谈吗？	房子就不愁卖了	0
468	哦，价能谈吗？	您这边看房子也应该看很久了呢	0
469	对了明天1150可以看吗	晚点确定好跟您说	1
470	对了明天1150可以看吗	这边确定好了，明天下午3点可以看房，您到时候时间没问题吧	1
471	对了明天1150可以看吗	好，那明天下午见	0
472	可以看看	那就明天14点，欣心家园门口见！	1
473	可以看看	您好，	0
474	可以看看	今天有两套房子不错，给你推荐下，	0
475	方便带看一下吗	好的	0
476	方便带看一下吗	不客气	0
477	方便带看一下吗	这个小区环境也非常不错	0
478	您好，请问这个房子周边有哪些学校	房子旁边有苗儿石小学，鸿恩寺实验小学，中学	1
479	您好，请问这个房子周边有哪些学校	有个私立的新村国兴小学	1
480	您好，请问这个房子周边有哪些学校	苗儿石小学	1
481	您好，请问这个房子周边有哪些学校	您这边是考虑学区房是吧？	0
482	您好，请问这个房子周边有哪些学校	老师	0
483	还有据我所知这个小区在售的清水和简装是很少的，上次看过，已经比较了解了，为什么这一套挂了一年多还没卖出去啊，房子有什么问题吗??	还有套一样的户型，装修漂亮点。价格贵点	0
484	还有据我所知这个小区在售的清水和简装是很少的，上次看过，已经比较了解了，为什么这一套挂了一年多还没卖出去啊，房子有什么问题吗??	我发你看下	0
485	还有据我所知这个小区在售的清水和简装是很少的，上次看过，已经比较了解了，为什么这一套挂了一年多还没卖出去啊，房子有什么问题吗??	这个房子是简装得，如果客户不介意，买来出租，自住都可以，但是对于对装修要求高的，可能就不喜欢简装得	0
486	还有据我所知这个小区在售的清水和简装是很少的，上次看过，已经比较了解了，为什么这一套挂了一年多还没卖出去啊，房子有什么问题吗??	没有啊	0
487	还有据我所知这个小区在售的清水和简装是很少的，上次看过，已经比较了解了，为什么这一套挂了一年多还没卖出去啊，房子有什么问题吗??	这套	0
488	什么时候能够看房呢？	下午房东都可以	1
489	什么时候能够看房呢？	有的	0
490	什么时候能够看房呢？	你方便留个电话给我吗？	0
491	是精装的吗	嗯，这套房子在的。	0
492	是精装的吗	前面是小河，也没遮挡。	0
493	是精装的吗	上面有照片啊，可以看得到房子情况	0
494	是精装的吗	都是精装的	1
495	是精装的吗	您如果有空的话，我可以带您去现场看一下房子	0
496	价格可以少吗	看好价格可以商量的，房东阿姨诚心卖的，爬不上楼	1
497	价格可以少吗	感谢您的信任！您好！我是贝壳-欢家居陶玲，来自武汉阳逻，很高兴为您服务！	0
498	价格可以少吗	51.5万	0
